Employee_ID,Name,Age,Department,Salary ($),Join_Date,Performance_Score,Promoted,Work_Location,Employment_Type
10001,Liam,48,Sales,193637,2005-12-31,9,No,Hybrid,Full-time
10002,David,51,IT,168107,2022-01-13,8,No,Remote,Contract
10003,Mason,51,Marketing,172319,2021-03-18,7,No,Remote,Full-time
10004,Emma,24,IT,32579,2024-01-15,9,No,Office,Part-time
10005,Liam,64,Sales,192220,2007-12-02,4,No,Office,Contract
10006,Aiden,28,IT,162275,2015-07-16,2,No,Remote,Full-time
10007,Charlie,30,HR,160554,2023-06-19,4,No,Hybrid,Part-time
10008,Liam,62,IT,43859,2020-09-29,10,Yes,Hybrid,Contract
10009,Mason,63,Engineering,69536,2024-03-14,3,No,Office,Contract
10010,Emma,34,HR,193584,2006-08-02,2,Yes,Hybrid,Contract
10011,David,36,Engineering,115115,2009-09-13,2,No,Hybrid,Contract
10012,Mason,26,IT,97635,2020-12-27,8,No,Hybrid,Part-time
10013,Mason,50,HR,172789,2012-03-25,5,Yes,Remote,Contract
10014,Charlie,56,HR,44847,2014-04-19,6,No,Remote,Contract
10015,Sophia,48,IT,100880,2005-05-08,8,Yes,Office,Part-time
10016,Emma,48,Finance,93869,2018-12-30,7,Yes,Hybrid,Part-time
10017,Bob,29,Marketing,89474,2015-12-06,7,No,Office,Contract
10018,Mason,53,Marketing,82307,2013-06-07,7,No,Remote,Part-time
10019,Sophia,41,Marketing,65712,2017-06-07,7,Yes,Office,Part-time
10020,Bob,31,HR,59394,2015-08-24,8,No,Remote,Full-time
10021,Emma,34,Marketing,138869,2012-06-05,1,No,Remote,Part-time
10022,Alice,50,HR,186297,2003-05-22,3,Yes,Office,Full-time
10023,Aiden,56,Finance,116504,2012-08-10,1,No,Hybrid,Full-time
10024,Sophia,29,IT,80655,2005-04-27,8,No,Office,Full-time
10025,Olivia,50,IT,57057,2011-02-23,2,No,Hybrid,Full-time
10026,Alice,52,HR,171124,2022-11-25,7,Yes,Office,Full-time
10027,Aiden,62,HR,195153,2021-10-12,6,No,Office,Part-time
10028,Charlie,51,Finance,89356,2007-06-23,1,No,Office,Part-time
10029,Liam,43,Marketing,79461,2021-05-31,6,No,Remote,Part-time
10030,David,42,Finance,132253,2011-01-24,9,No,Office,Contract
10031,Olivia,33,IT,161805,2008-01-03,3,No,Remote,Part-time
10032,Charlie,32,IT,107418,2020-05-03,7,Yes,Remote,Full-time
10033,Emma,23,Engineering,137112,2005-11-26,4,No,Remote,Contract
10034,Charlie,62,Marketing,151813,2006-06-09,1,Yes,Office,Contract
10035,Liam,23,IT,193300,2004-12-23,7,No,Office,Part-time
10036,Emma,55,Engineering,58056,2009-12-09,1,Yes,Office,Contract
10037,Olivia,24,HR,199555,2020-02-25,4,No,Office,Part-time
10038,Liam,37,IT,96666,2013-04-20,9,Yes,Remote,Part-time
10039,Bob,25,Sales,152944,2010-09-11,5,No,Hybrid,Full-time
10040,David,44,Marketing,127310,2023-07-15,7,No,Hybrid,Contract
10041,Olivia,41,Engineering,112733,2024-03-09,7,No,Remote,Contract
10042,Bob,46,Marketing,148672,2023-07-17,3,No,Remote,Contract
10043,Aiden,51,Marketing,97278,2019-09-28,8,No,Hybrid,Part-time
10044,Olivia,39,Sales,51438,2021-06-15,1,Yes,Hybrid,Contract
10045,Aiden,63,Finance,113111,2011-10-01,4,Yes,Hybrid,Full-time
10046,Emma,32,HR,118725,2015-07-10,10,No,Hybrid,Contract
10047,Bob,50,Marketing,64323,2022-10-09,4,No,Hybrid,Contract
10048,David,38,IT,189055,2005-08-12,2,Yes,Office,Full-time
10049,Liam,47,HR,68670,2019-11-12,6,No,Hybrid,Part-time
10050,Mason,44,IT,99568,2014-10-04,1,No,Office,Part-time
10051,Charlie,41,HR,56338,2010-07-22,3,No,Office,Contract
10052,Alice,23,HR,121085,2015-09-12,9,Yes,Remote,Full-time
10053,David,45,Engineering,82298,2019-12-12,10,Yes,Remote,Full-time
10054,Bob,52,IT,113176,2008-12-22,6,No,Hybrid,Full-time
10055,Mason,48,IT,68184,2008-10-21,2,No,Remote,Part-time
10056,David,23,HR,39141,2007-12-03,9,No,Hybrid,Part-time
10057,Bob,35,Marketing,162468,2012-10-13,2,No,Remote,Part-time
10058,Sophia,25,IT,138984,2013-10-04,7,No,Remote,Full-time
10059,Sophia,34,Sales,87925,2022-09-27,1,No,Hybrid,Part-time
10060,Aiden,57,Sales,38074,2023-08-01,5,No,Remote,Contract
10061,David,56,HR,177147,2011-12-12,7,No,Hybrid,Part-time
10062,Sophia,29,Finance,58865,2012-04-11,3,Yes,Remote,Contract
10063,Bob,23,HR,188226,2013-05-22,4,No,Hybrid,Part-time
10064,Aiden,27,HR,111361,2016-07-08,5,No,Office,Contract
10065,Bob,52,Marketing,87865,2011-03-06,3,No,Hybrid,Full-time
10066,Aiden,31,Marketing,156099,2015-11-11,6,Yes,Remote,Part-time
10067,David,42,Engineering,179062,2023-03-23,3,No,Office,Contract
10068,Mason,63,Finance,93021,2014-06-25,8,No,Office,Full-time
10069,Liam,31,Finance,99248,2018-09-13,7,No,Hybrid,Contract
10070,Olivia,44,Finance,103636,2013-12-17,1,Yes,Hybrid,Part-time
10071,Mason,24,Finance,186794,2008-04-24,2,No,Office,Part-time
10072,Emma,53,Finance,147735,2021-01-06,4,No,Hybrid,Part-time
10073,Bob,41,HR,72099,2007-01-12,5,No,Hybrid,Full-time
10074,Emma,31,HR,61449,2012-08-17,10,Yes,Hybrid,Part-time
10075,Mason,50,Engineering,69162,2006-06-29,4,No,Remote,Full-time
10076,Aiden,62,Sales,74805,2019-02-26,4,No,Remote,Full-time
10077,Olivia,55,Sales,500000,2018-02-28,9,No,Office,Part-time
10078,Olivia,58,Engineering,141946,2024-03-04,4,Yes,Office,Part-time
10079,Alice,41,Engineering,49708,2014-08-11,4,No,Office,Part-time
10080,Olivia,29,IT,95850,2012-06-26,4,No,Hybrid,Part-time
10081,Liam,28,HR,136259,2012-06-08,2,No,Hybrid,Contract
10082,Olivia,27,Finance,79446,2008-01-10,8,No,Hybrid,Contract
10083,Mason,32,IT,41096,2004-01-14,4,No,Office,Contract
10084,Alice,39,Marketing,43910,2023-03-30,5,No,Office,Full-time
10085,Mason,63,HR,51414,2010-10-10,8,No,Remote,Full-time
10086,Mason,50,Engineering,172093,2013-10-28,4,No,Hybrid,Contract
10087,Charlie,46,Sales,141836,2009-01-08,5,No,Hybrid,Part-time
10088,Alice,42,HR,40968,2012-11-17,5,No,Remote,Full-time
10089,Mason,24,Engineering,96481,2005-02-19,6,No,Office,Full-time
10090,Charlie,39,HR,77359,2012-07-28,7,Yes,Office,Full-time
10091,Charlie,45,HR,128266,2005-10-29,3,No,Office,Full-time
10092,Alice,59,HR,118877,2024-02-29,10,No,Hybrid,Contract
10093,Emma,31,Marketing,111791,2018-03-04,3,Yes,Remote,Contract
10094,Aiden,48,Sales,83467,2017-09-06,9,No,Remote,Full-time
10095,Liam,33,HR,53425,2015-12-09,1,No,Office,Part-time
10096,Aiden,28,Engineering,156203,2007-06-23,10,No,Hybrid,Contract
10097,Olivia,38,Marketing,179575,2016-12-05,8,No,Remote,Full-time
10098,Liam,22,IT,190505,2010-01-13,10,No,Hybrid,Contract
10099,Olivia,47,HR,39965,2009-07-18,3,No,Office,Full-time
10100,Mason,36,Marketing,155784,2018-09-28,5,Yes,Office,Part-time
10101,Bob,54,Finance,153505,2017-09-14,3,No,Remote,Full-time
10102,Alice,58,IT,191008,2007-07-04,10,No,Office,Full-time
10103,Liam,52,Sales,72995,2020-08-22,1,No,Remote,Full-time
10104,Liam,56,HR,156170,2007-07-15,10,No,Office,Part-time
10105,Mason,22,HR,39286,2015-10-11,5,No,Remote,Full-time
10106,Emma,29,Marketing,137311,2006-05-15,8,Yes,Office,Full-time
10107,Charlie,33,Sales,89644,2005-05-24,5,No,Office,Contract
10108,Mason,40,Finance,160714,2005-03-07,4,No,Hybrid,Full-time
10109,Sophia,46,IT,176761,2024-03-07,9,No,Hybrid,Contract
10110,Charlie,53,Engineering,92019,2007-10-14,1,No,Office,Full-time
10111,Alice,33,Sales,119349,2020-03-02,5,No,Remote,Part-time
10112,Charlie,34,HR,49958,2021-06-14,1,Yes,Office,Part-time
10113,Emma,49,Marketing,100874,2009-10-21,6,Yes,Hybrid,Part-time
10114,Charlie,22,Finance,91336,2012-11-10,10,No,Remote,Full-time
10115,Alice,27,Marketing,61130,2003-10-13,9,No,Office,Part-time
10116,Emma,29,IT,182061,2006-04-06,2,No,Office,Part-time
10117,Aiden,25,Sales,55174,2014-10-16,4,Yes,Hybrid,Full-time
10118,Liam,26,Marketing,138075,2011-08-09,8,No,Remote,Contract
10119,Liam,46,Engineering,181324,2021-10-28,3,No,Remote,Full-time
10120,Olivia,43,Engineering,185034,2021-07-13,7,No,Remote,Full-time
10121,Aiden,49,Marketing,164850,2012-09-25,7,Yes,Office,Contract
10122,Aiden,60,HR,59943,2013-05-15,2,No,Hybrid,Part-time
10123,Charlie,44,Marketing,168963,2012-03-09,10,No,Office,Full-time
10124,Liam,25,Finance,77016,2003-05-03,4,No,Hybrid,Contract
10125,Alice,25,Sales,186807,2014-12-26,1,No,Hybrid,Contract
10126,David,42,IT,150544,2017-08-10,8,No,Remote,Part-time
10127,David,58,Engineering,163495,2009-09-15,10,No,Office,Full-time
10128,Emma,62,Marketing,44455,2016-07-02,10,No,Remote,Contract
10129,Liam,23,Finance,129070,2008-12-18,9,No,Hybrid,Full-time
10130,Liam,28,Engineering,169594,2011-06-14,1,Yes,Hybrid,Full-time
10131,David,37,Engineering,176470,2019-12-28,7,No,Remote,Part-time
10132,Liam,38,IT,34867,2007-07-04,1,No,Remote,Full-time
10133,Charlie,41,Engineering,189657,2006-12-11,1,Yes,Hybrid,Part-time
10134,Sophia,44,Finance,37367,2005-12-11,9,Yes,Office,Contract
10135,Bob,55,Engineering,134468,2017-01-29,10,No,Remote,Part-time
10136,Aiden,32,Engineering,147875,2017-10-07,10,Yes,Office,Part-time
10137,Olivia,55,Marketing,48248,2021-11-09,6,No,Hybrid,Contract
10138,Emma,54,Marketing,38162,2016-11-05,1,No,Remote,Part-time
10139,Sophia,47,Sales,163435,2019-07-09,7,No,Remote,Part-time
10140,David,23,HR,95394,2008-11-30,3,No,Hybrid,Contract
10141,Aiden,44,Finance,48209,2021-05-22,10,No,Remote,Part-time
10142,Liam,62,HR,159653,2013-06-30,4,Yes,Remote,Full-time
10143,Olivia,43,HR,174357,2012-02-26,4,No,Office,Part-time
10144,Liam,55,Engineering,129855,2009-05-29,8,No,Remote,Part-time
10145,Alice,36,IT,57410,2012-02-19,1,No,Office,Full-time
10146,Alice,31,IT,32587,2022-07-05,8,No,Remote,Part-time
10147,Olivia,36,Engineering,149136,2008-11-08,9,No,Remote,Contract
10148,Olivia,63,Finance,123523,2014-06-22,7,No,Hybrid,Contract
10149,David,50,HR,140635,2006-06-19,1,Yes,Hybrid,Full-time
10150,Olivia,44,Sales,168241,2021-10-17,7,Yes,Remote,Contract
10151,Charlie,38,HR,103818,2020-01-27,6,No,Office,Part-time
10152,Liam,30,IT,51167,2017-11-02,5,No,Hybrid,Contract
10153,Sophia,57,HR,189797,2003-11-19,5,Yes,Hybrid,Part-time
