Customer_ID,Name,Email,Join_Date,Location,Membership_Level
2001,Liam,user2001@example.com,2024-09-09,Houston,Silver
2002,David,user2002@example.com,2022-09-15,Chicago,Silver
2003,Mason,user2003@example.com,2022-12-20,Miami,Gold
2004,Emma,user2004@example.com,2023-01-24,Los Angeles,Standard
2005,Liam,user2005@example.com,2023-09-11,Miami,Standard
2006,Aiden,user2006@example.com,2024-05-13,Miami,Standard
2007,Charlie,user2007@example.com,2023-09-18,Chicago,Standard
2008,Liam,user2008@example.com,2024-02-23,Houston,Standard
2009,Mason,user2009@example.com,2023-05-14,Miami,Gold
2010,Emma,user2010@example.com,2023-03-25,Houston,Standard
2011,David,user2011@example.com,2025-01-09,New York,Standard
2012,Mason,user2012@example.com,2024-01-12,Houston,Standard
2013,Mason,user2013@example.com,2022-08-10,Los Angeles,Standard
2014,Charlie,user2014@example.com,2024-03-12,Los Angeles,Gold
2015,Sophia,user2015@example.com,2024-12-21,Miami,Silver
2016,Emma,user2016@example.com,2025-02-04,Houston,Silver
2017,Bob,user2017@example.com,2023-04-25,Miami,Standard
2018,Mason,user2018@example.com,2025-02-07,Chicago,Standard
2019,Sophia,user2019@example.com,2024-12-22,Los Angeles,Standard
2020,Bob,user2020@example.com,2023-12-20,Miami,Standard
2021,Emma,user2021@example.com,2024-12-25,Chicago,Gold
2022,Alice,user2022@example.com,2024-04-19,Miami,Standard
2023,Aiden,user2023@example.com,2022-12-25,Houston,Silver
2024,Sophia,user2024@example.com,2025-01-05,Houston,Standard
2025,Olivia,user2025@example.com,2024-09-11,Houston,Silver
2026,Alice,user2026@example.com,2022-12-26,Houston,Gold
2027,Aiden,user2027@example.com,2022-11-02,New York,Silver
2028,Charlie,user2028@example.com,2025-02-19,Chicago,Silver
2029,Liam,user2029@example.com,2023-11-11,Chicago,Platinum
2030,David,user2030@example.com,2022-10-09,Houston,Silver
2031,Olivia,user2031@example.com,2024-07-02,New York,Standard
2032,Charlie,user2032@example.com,2024-05-13,Houston,Standard
2033,Emma,user2033@example.com,2023-10-14,New York,Silver
2034,Charlie,user2034@example.com,2024-10-22,Houston,Silver
2035,Liam,user2035@example.com,2022-07-14,Los Angeles,Standard
2036,Emma,user2036@example.com,2022-11-03,Los Angeles,Standard
2037,Olivia,user2037@example.com,2022-11-19,Miami,Platinum
2038,Liam,user2038@example.com,2023-11-24,Houston,Standard
2039,Bob,user2039@example.com,2024-04-24,Chicago,Standard
2040,David,user2040@example.com,2022-09-12,Miami,Standard
2041,Olivia,user2041@example.com,2022-12-06,Los Angeles,Gold
2042,Bob,user2042@example.com,2023-10-27,Houston,Standard
2043,Aiden,user2043@example.com,2024-01-30,Miami,Silver
2044,Olivia,user2044@example.com,2023-07-11,Houston,Standard
2045,Aiden,user2045@example.com,2022-12-23,Los Angeles,Silver
2046,Emma,user2046@example.com,2022-11-20,Miami,Gold
2047,Bob,user2047@example.com,2024-06-03,Los Angeles,Standard
2048,David,user2048@example.com,2023-12-26,New York,Silver
2049,Liam,user2049@example.com,2024-08-25,Los Angeles,Standard
2050,Mason,user2050@example.com,2023-10-05,Houston,Standard
2051,Charlie,user2051@example.com,2024-04-06,Chicago,Gold
2052,Alice,user2052@example.com,2023-07-17,Los Angeles,Standard
2053,David,user2053@example.com,2024-12-10,Chicago,Silver
2054,Bob,user2054@example.com,2022-10-02,New York,Standard
2055,Mason,user2055@example.com,2023-02-15,Miami,Standard
2056,David,user2056@example.com,2022-08-21,Miami,Standard
2057,Bob,user2057@example.com,2024-06-01,Chicago,Silver
2058,Sophia,user2058@example.com,2024-02-22,Miami,Standard
2059,Sophia,user2059@example.com,2024-12-17,Los Angeles,Silver
2060,Aiden,user2060@example.com,2024-06-20,Chicago,Standard
2061,David,user2061@example.com,2024-07-14,Houston,Standard
2062,Sophia,user2062@example.com,2024-03-16,Los Angeles,Silver
2063,Bob,user2063@example.com,2022-11-03,Los Angeles,Gold
2064,Aiden,user2064@example.com,2023-01-25,Los Angeles,Standard
2065,Bob,user2065@example.com,2022-07-19,Houston,Silver
2066,Aiden,user2066@example.com,2024-12-28,New York,Standard
2067,David,user2067@example.com,2022-11-16,Miami,Silver
2068,Mason,user2068@example.com,2023-07-27,Chicago,Gold
2069,Liam,user2069@example.com,2023-09-28,New York,Gold
2070,Olivia,user2070@example.com,2024-11-30,Chicago,Silver
2071,Mason,user2071@example.com,2022-09-23,Miami,Standard
2072,Emma,user2072@example.com,2024-08-21,Houston,Gold
2073,Bob,user2073@example.com,2023-10-10,Los Angeles,Silver
2074,Emma,user2074@example.com,2024-07-27,Los Angeles,Standard
2075,Mason,user2075@example.com,2023-11-28,Houston,Standard
2076,Aiden,user2076@example.com,2024-12-16,New York,Gold
2077,Olivia,user2077@example.com,2024-04-25,New York,Gold
2078,Olivia,user2078@example.com,2024-06-11,Chicago,Standard
2079,Alice,user2079@example.com,2024-01-13,Houston,Silver
2080,Olivia,user2080@example.com,2025-01-13,New York,Gold
2081,Liam,user2081@example.com,2024-07-18,Houston,Standard
2082,Olivia,user2082@example.com,2024-07-05,Miami,Standard
2083,Mason,user2083@example.com,2024-09-23,Los Angeles,Silver
2084,Alice,user2084@example.com,2025-01-24,Los Angeles,Standard
2085,Mason,user2085@example.com,2022-07-04,Los Angeles,Standard
2086,Mason,user2086@example.com,2023-10-26,Houston,Silver
2087,Charlie,user2087@example.com,2023-05-21,Houston,Gold
2088,Alice,user2088@example.com,2022-07-19,Chicago,Silver
2089,Mason,user2089@example.com,2023-10-19,Los Angeles,Silver
2090,Charlie,user2090@example.com,2023-02-25,Chicago,Standard
2091,Charlie,user2091@example.com,2022-12-16,Los Angeles,Standard
2092,Alice,user2092@example.com,2023-12-03,Chicago,Silver
2093,Emma,user2093@example.com,2022-12-23,Chicago,Standard
2094,Aiden,user2094@example.com,2024-01-05,Miami,Gold
2095,Liam,user2095@example.com,2023-03-11,Chicago,Standard
2096,Aiden,user2096@example.com,2024-05-16,Houston,Standard
2097,Olivia,user2097@example.com,2024-04-18,Chicago,Standard
2098,Liam,user2098@example.com,2023-06-30,Los Angeles,Gold
