Customer_ID,Name,Email,Join_Date,Location,Membership_Level
7001,Liam,user7001@example.com,2022-07-15,Houston,Gold
7002,David,user7002@example.com,2024-02-18,Los Angeles,Silver
7003,Mason,user7003@example.com,2024-03-10,New York,Standard
7004,Emma,user7004@example.com,2024-03-11,Miami,Silver
7005,Liam,user7005@example.com,2022-09-18,Chicago,Silver
7006,Aiden,user7006@example.com,2025-01-25,Houston,Gold
7007,Charlie,user7007@example.com,2023-10-28,Chicago,Standard
7008,Liam,user7008@example.com,2023-07-16,Chicago,Standard
7009,Mason,user7009@example.com,2024-08-19,New York,Silver
7010,Emma,user7010@example.com,2023-12-29,Chicago,Gold
7011,David,user7011@example.com,2023-09-04,Miami,Standard
7012,Mason,user7012@example.com,2024-03-31,Chicago,Standard
7013,Mason,user7013@example.com,2024-01-05,New York,Gold
7014,Charlie,user7014@example.com,2024-01-24,Miami,Standard
7015,Sophia,user7015@example.com,2023-11-14,Los Angeles,Silver
7016,Emma,user7016@example.com,2024-06-27,Chicago,Gold
7017,Bob,user7017@example.com,2023-05-16,New York,Silver
7018,Mason,user7018@example.com,2024-12-01,Los Angeles,Silver
7019,Sophia,user7019@example.com,2024-11-16,Los Angeles,Standard
7020,Bob,user7020@example.com,2024-10-18,Houston,Silver
7021,Emma,user7021@example.com,2024-08-19,Miami,Silver
7022,Alice,user7022@example.com,2022-11-06,Chicago,Standard
7023,Aiden,user7023@example.com,2023-03-14,New York,Standard
7024,Sophia,user7024@example.com,2022-12-22,Houston,Platinum
7025,Olivia,user7025@example.com,2024-04-22,Miami,Silver
7026,Alice,user7026@example.com,2023-07-04,Houston,Standard
7027,Aiden,user7027@example.com,2025-01-24,Miami,Platinum
7028,Charlie,user7028@example.com,2024-02-08,Miami,Platinum
7029,Liam,user7029@example.com,2023-03-08,Chicago,Silver
7030,David,user7030@example.com,2024-04-17,Miami,Gold
7031,Olivia,user7031@example.com,2023-03-21,Houston,Standard
7032,Charlie,user7032@example.com,2023-02-25,Miami,Standard
7033,Emma,user7033@example.com,2024-05-19,Chicago,Silver
7034,Charlie,user7034@example.com,2023-01-02,Chicago,Gold
7035,Liam,user7035@example.com,2024-10-09,Houston,Gold
7036,Emma,user7036@example.com,2023-09-19,Los Angeles,Standard
7037,Olivia,user7037@example.com,2024-10-30,Los Angeles,Gold
7038,Liam,user7038@example.com,2024-09-05,Miami,Gold
7039,Bob,user7039@example.com,2022-10-01,New York,Gold
7040,David,user7040@example.com,2024-11-13,Miami,Silver
7041,Olivia,user7041@example.com,2024-05-24,Houston,Silver
7042,Bob,user7042@example.com,2022-12-26,Houston,Silver
7043,Aiden,user7043@example.com,2022-09-05,Houston,Standard
7044,Olivia,user7044@example.com,2023-11-28,Houston,Gold
7045,Aiden,user7045@example.com,2023-04-11,Houston,Platinum
7046,Emma,user7046@example.com,2023-09-25,Chicago,Standard
7047,Bob,user7047@example.com,2024-11-07,Los Angeles,Standard
